Epochs,Samples Seen,Training Loss,Validation Loss
5,12000,1.7903397655983766,3.0113787167072297
5,12200,1.7951308425918955,3.001788394610087
5,12400,1.7984816424837036,3.0087047443389894
5,12600,1.8014242083638434,3.0153304993311565
6,200,1.4597032326459884,3.042029135942459
6,400,1.4542586474865675,3.041020604133606
6,600,1.4505066398779551,3.041875696818034
6,800,1.442605927027762,3.073299586613973
6,1000,1.4632046689391136,3.0557746240297954
6,1200,1.4612836511433125,3.05320850054423
6,1400,1.4682207675703933,3.0383353372414907
6,1600,1.475484629869461,3.075454728007317
6,1800,1.4799583732253976,3.069196104367574
6,2000,1.484106895521283,3.067585391243299
6,2200,1.4941194593635472,3.069462304194768
6,2400,1.4988482788701851,3.087685309092204
6,2600,1.4981379255881677,3.075014208316803
6,2800,1.5063081071419375,3.075280280272166
6,3000,1.5155418269137542,3.080634442170461
6,3200,1.522555995984003,3.0865591843128204
6,3400,1.521178354585872,3.111253315369288
6,3600,1.5301614264316028,3.07893310602506
6,3800,1.5389797952379052,3.067361201445262
6,4000,1.5466642504185437,3.0562766874631246
6,4200,1.5544978536594483,3.065365885694822
6,4400,1.5602716788717292,3.0798597555160523
6,4600,1.5617534895629988,3.1120743483702342
6,4800,1.5667726544104517,3.0880220510164897
6,5000,1.5681356733858585,3.097006266752879
6,5200,1.5698760588524434,3.08856777771314
6,5400,1.5741550154211346,3.0952669247786204
6,5600,1.5791990299576095,3.096391052166621
6,5800,1.5839102640799407,3.1032960614363354
6,6000,1.5879368871450423,3.08830631963412
6,6200,1.5904699369736257,3.0874806293646495
6,6400,1.595793214631267,3.091863874912262
6,6600,1.6008808602934534,3.088649410009384
6,6800,1.6041125752601553,3.1259130238691966
6,7000,1.6079146285993713,3.1066109499931334
6,7200,1.6119825885030958,3.0916990272998808
6,7400,1.6136237015232846,3.105201456785202
6,7600,1.616297513658279,3.102453114191691
6,7800,1.6202468521014237,3.0858781840801237
6,8000,1.6245929721221328,3.0759625600973766
6,8200,1.6266928525705162,3.070963996728261
6,8400,1.6304358206015257,3.097704319636027
6,8600,1.6332551893487919,3.1003839859962463
6,8800,1.6353793635117737,3.091797128597895
6,9000,1.639306164426936,3.1117097036838532
6,9200,1.6423705975938103,3.088171275536219
6,9400,1.6473427648430174,3.0898422312736513
6,9600,1.6503467242481809,3.0902165502707164
6,9800,1.6526495896401454,3.1014690009752908
6,10000,1.6545881317049265,3.1168379034201306
6,10200,1.6587544840720354,3.1119870014985405
6,10400,1.6627987529881871,3.108201582670212
6,10600,1.6666175887635295,3.121308024009069
6,10800,1.669253922626376,3.105082607547442
6,11000,1.6721156177520753,3.0914330318371457
6,11200,1.6777315833978355,3.0843349434932072
6,11400,1.6813038474399793,3.105940538088481
6,11600,1.686219348198381,3.121968382994334
6,11800,1.6882437921403828,3.090646981159846
6,12000,1.6903690325344602,3.112919144789378
6,12200,1.6935923751480266,3.099316090663274
6,12400,1.6963903993920935,3.1124451615810393
6,12600,1.6995878442625205,3.101840331037839
7,200,1.4420444795489311,3.088501648426056
7,400,1.4007598517090083,3.1083174812396366
7,600,1.3774042607843875,3.1287889881134032
